ID	Location	Trigger / frequency	Metrics	Workload dimensions	Coverage / instrumentation	Hypothesis to test	Invariant / narrow verification	Priority	Next experiment
T04	v2/driver-tmux/src/driver.ts:harvest	Pane fallback polls at >=150 ms	capture subprocesses, hash CPU, bytes, loop delay	file-less seats, pane size, activity rate	Known correctness discrepancy; I4,I6	Pane capture/hash is expensive and quiescence policies complicate cadence changes	K2; driver-tmux/driver; explicit-end fixtures	P1	Measure capture cost only; isolate silence-derived turn handling for correctness review
T05	v2/driver-tmux/src/driver.ts:deliver, inject	Each typed or pasted message	delivery wall, synchronous blocked time, tmux calls	ASCII/Unicode, multiline, body length, type/paste	No valid perf baseline; I3,I4	300 ms pre-delay and 50 ms chunk pacing dominate typed delivery	K3; driver-tmux/delivery, deliver-verify	P1	Measure 10/1000/10000-character messages and concurrent unrelated RPC latency
T06	v2/driver-tmux/src/driver.ts:verifyEcho, countTailInPane	Each verified delivery/retry	verification wall, polls, retry rate, captures	echo delay, repeated suffix, TUI speed, missed echo	Prior fixture issue; I3,I4	100 ms synchronous verification polls amplify failure-path stalls	K3; driver-tmux/deliver-verify no-blind-Enter	P1	Stabilize existing echo fixture then compare fast/delayed/missing echo distributions
T07	v2/driver-tmux/src/driver.ts:adopt, stop, signal, onExit	Restart/stop per tmux seat	wall, identity/tmux calls, leaked sessions/timers	L, stale pane IDs, reused PIDs, stop grace	Correctness only; I4,I5	Per-seat session lookup and exact signaling scale with fleet size	K5; driver-tmux/driver, delivery	P2	Restart and stop 100 isolated stub seats; verify unrelated sessions survive
E01	v2/daemon/src/daemon.ts:planCell; v2/driver-cell/src/provision.ts:reserveCell; v2/driver-cell/src/ledger.ts:writeLedger	Cell admission and each provision step	RPC latency, metadata writes, bytes	path length, ledger operations, concurrent reservations	B2/B3 partial; I3,I6	Repeated atomic ledger rewrites add metadata cost on small repositories	K1,K6; driver-cell/provision, daemon/cells	P2	Separate reserve latency from worker provisioning and count writes per step
E02	v2/driver-cell/src/driver.ts:start, finishProvision	Worker per Cell start, then HSR start	queue wait, worker CPU/RSS, RPC delay, concurrency	burst width, shared/different origins, boot deadline	B2/B3 cohorts width 5; I3,I4,I5	Per-bee single-flight does not bound node-wide worker cohorts	K2,K6; driver-cell/driver, provision-worker	P1	Ramp width 1/5/20/100 with unrelated RPCs and worker-count timeline
E03	v2/driver-cell/src/gitImage.ts:tryMaterializeGitImage, configureFreshCellGit	Fresh image-hit placement	wall, Git/copy process count, bytes	pack count, remote URL shapes, config fallback cases	B3 landed; I6	Pack-file count and remaining Git probes dominate after two-process reduction	K6; driver-cell/git-image config/refs/permissions	P1	Keep six-process no-remote baseline; vary packs 1/32/64 and config fallback inputs
E04	v2/driver-cell/src/gitImage.ts:refreshGitImage, packRevision, validatePackedImage	Cold/stale/missing image, maintenance	wall, child CPU, bytes, lock wait, temporary storage	graph size, incremental delta, >64 packs, stale lock	B2 exploratory; I4,I6	Packing/fsck and compaction thresholds dominate cold and stale tails	K6; driver-cell/git-image self-contained/lock/recovery	P1	Same graph at cold, hit, incremental and 65-pack rebuild boundaries
E05	v2/driver-cell/src/provision.ts:materializeProvisionGitImage, runProvisionOperation; v2/driver-cell/src/cow.ts:probeCow, cowCopy	Image miss/contention; CoW/clone fallback	wall, processes, allocated/logical bytes	filesystem support, .git shape, contention, origin mutation	B2 exploratory; I6	Repeated probes/busy waiting before fallback inflate readiness tails	K6; driver-cell/provision, git-image	P1	Force each path with identical SHA/tree and measure actual allocated blocks
E06	v2/driver-cell/src/provision.ts:runProvisionOperation	Forced detached checkout after placement	checkout wall/child CPU, file creates, bytes	tracked files, small/large blobs, executable bits, repo graph	B2 aggregate; I6	Working-tree materialization dominates once Git metadata placement is cheap	K6; driver-cell/provision exact tree/origin immutability	P1	Hold .git constant while varying 200/100k files and total content bytes
E07	v2/driver-cell/src/provision.ts:runProvisionOperation	Opt-in warm directory copy	wall, metadata I/O, allocated bytes, later install cost	warm file count/bytes, cache hit, filesystem support	B2 confounded exploratory; I6	Many-small-file CoW copies cost more than useful saved dependency installation	K6; driver-cell/provision warm/cold fallback	P2	Compare total ready-plus-first-task cost with 0/1k/100k warm files on same graph
E08	v2/driver-cell/src/provisionWorker.ts:waitForMaintenanceStart; v2/driver-cell/src/gitImage.ts:cleanupOldGenerations	Replay/fallback deferred retry; cache maintenance	worker tail, CPU, RSS, cleanup bytes	fresh image versus replay/incomplete/fallback, first turn or 30 s	B2 fresh-image landed; I4,I6	Remaining deferred workers and cleanup contend with active foreground work	K5,K6; driver-cell/provision-worker, git-image	P1	Repeat worker-lifetime cohort matrix for all non-fresh-image paths
E09	v2/driver-cell/src/sandbox.ts:wrapWithSandbox, seatbeltProfile, bwrapArgs	Sandboxed spawn	profile CPU, process overhead, startup/FS throughput	macOS/Linux, writable paths, realpaths, node kind	Correctness only; I4,I6	Path normalization and wrapper startup add platform-specific costs	K5,K6; driver-cell/sandbox; harness/real	P2	Paired sandboxed/unsandboxed stub file workload with identical allowed operations
E10	v2/daemon/src/daemon.ts:rpcCellCapture; v2/driver-cell/src/capture.ts:captureWork	Explicit merge/rebase capture RPC	RPC blocked wall, Git CPU, temp bytes	commit delta, conflicts, target changes, retry key	Correctness only; I1,I4,I6	Synchronous capture Git work remains on the daemon RPC thread	K1,K6; driver-cell/capture; daemon/cells	P1	Capture a large disposable branch while continuously probing hello/list
E11	v2/driver-cell/src/remove.ts:dirtyReport, deleteCell; v2/daemon/src/daemon.ts:rpcCellRemove	Explicit Cell remove/dirty guard	RPC latency, Git/FS calls, removal bytes	tree size, untracked/ignored data, detached commits	Correctness only; I4,I6	Dirty detection and recursive deletion stall unrelated RPCs	K5,K6; driver-cell/remove; daemon/cells	P1	Measure clean/refused removals on huge trees without weakening refusal rules
E12	v2/driver-cell/src/driver.ts:cellOf, resolveCellSpawn, cancelPending	Recovery/cache miss and shutdown	ledger reads, heap, worker cleanup latency	cached cells, deleted/reserved cells, interrupted workers	Correctness only; I4,I5,I6	Redundant ledger hydration and retained cache entries grow with Cell churn	K5,K6; driver-cell/driver restart-adoption/cancel	P2	Churn cells through reserve/start/remove/restart and inspect cache/worker survivors
S01	v2/daemon/src/config.ts:loadNodeConfig, patchNamingConfig; v2/daemon/src/daemon.ts:rpcConfigPatch	Startup/config query or patch	CPU, file writes, restart overhead	agent definitions, naming config, patch frequency	Correctness only; I1,I6	Whole-file parse/write and service reconfiguration dominate tiny patches	K7; daemon/config, naming-rpc	P3	Repeated semantic no-op versus changed patches and audit/service-start counts
S02	v2/core/src/executables.ts:resolveExecutable, resolveSpawnCommand	Spawn and harness discovery	latency, stat/access calls	PATH length, fallback dirs, missing binaries, symlinks	Correctness only; I4,I6	Repeated executable filesystem probes dominate missing-command paths	K5,K7; core/executables; daemon/node-harnesses	P2	Warm/missing executable matrix with long PATH and changing files
S03	v2/daemon/src/gateways.ts:liveGateways	Grok spawn gateway resolution	CPU, directory/JSON/stat/PID calls	gateway count, dead records, command resolution	Correctness only; I4,I6	Every resolution scans gateway records and validates shims/liveness	K7; daemon/gateways	P2	Resolve 0/100/1000 live/stale gateway records without spawning providers
S04	v2/daemon/src/accountsService.ts:pick, pickRoundRobin, scheduleFreshLimits	Automatic account selection	CPU, SQL/FS counts, admission latency, fairness	accounts, B, commitments, stale limits, pending picks	B1 disabled; I1,I7	Multi-account selection rebuilds roster and per-bee runtimes; reservation arrays grow during bursts	K7; core/account-select; daemon/accounts-service	P1	Burst 1000 selections with fixed quota snapshots and B=10k
S05	v2/daemon/src/accountsService.ts:credentialed, credentialHealthOf, activateForSpawn; v2/daemon/src/activation.ts:activateHomeIfEmpty	Selection, snapshot and first spawn in empty home	FS calls, latency, copied bytes	empty/populated homes, accounts, recipes, filesystem cache	Correctness only; I6,I7	Repeated existence checks and synchronous home setup delay callers	K7; daemon/accounts-service, home-defaults, accounts-rpc	P1	Measure empty versus populated homes; mutate credentials without audit and verify health changes
S06	v2/daemon/src/accountsService.ts:periodicRefreshTick, refreshLimits, fetchOneBounded	Default 15 min; explicit/stale-selection refresh	queue age, Honeybee CPU, subprocess RSS, provider latency	accounts/harnesses, timeout/error rate, concurrent callers	B1 disabled; I4,I7	Sequential shared lane makes refresh age grow with slow accounts	K7; daemon/accounts-service; account-lease	P1	Use deterministic slow fetchers for 1/100 accounts, then separate approved provider timings
S07	v2/daemon/src/accountsService.ts:verifyCredentials, captureAccount, persistCredentialCapture	Verify/login/capture actions	wall, hash/copy CPU, FS/Keychain calls	home/vault sizes, credential timestamps, contention	Correctness only; I6,I7	Fingerprint/read/copy and external Keychain calls dominate credential operations	K7; daemon/accounts-service, login-flows	P2	Time local preparation/persistence separately from external verification
S08	v2/daemon/src/accountsService.ts:mintLease, mintCodexLease, mintClaudeLease	Credential lease RPC	latency, child CPU/RSS, cache/single-flight hits	fresh/expired token, same account concurrency, live homes	Correctness only; I4,I7	Token refresh or short-lived app-server startup dominates lease tails	K7; daemon/account-lease refresh races/no refresh-token disclosure	P1	Same-key versus distinct-account concurrent leases with controlled token freshness
S09	src/lock.ts:withFileLock, acquireFileLock, probeProcessOwner	v2 credential refresh locks; legacy file locks	wait wall, fs calls, ps count, heartbeat CPU	contention, held duration, live/dead/unknown owner	Correctness only; I4,I6,I7	Heartbeat and ownership probes become costly for contended refresh cohorts	K5,K7; tests/lock; daemon/account-lease	P2	Same-home refresh contention with deterministic dead-owner reclamation
S10	v2/daemon/src/loginWorker.ts:LoginWorker.start, LoginOutputParser.feed, settle	PTY login start and every output chunk	worker RSS, CPU/byte, spawn wall, timers	chunking, terminal escapes, prompts, output volume	Correctness only; I4,I5,I8	Repeated terminal cleaning/prompt scans and settling timers amplify noisy login output	K7; daemon/login-worker redaction/prompt detection	P2	Replay prompt fixture with adversarial chunk boundaries and long harmless output
S11	v2/daemon/src/login/claudeOauth.ts:ClaudeOauthRunner; v2/daemon/src/login/directKey.ts:DirectKeyRunner; v2/daemon/src/login/transports.ts:defaultLoginTransports	OAuth/key validation submissions	local CPU, HTTP latency, retries, response bytes	provider result/error, timeout, duplicate submit	Correctness only; I7	Network wait dominates wall time while local parse/write remains attributable	K7; daemon/claude-oauth-contract, login-flows	P2	Split request construction, provider wait and credential commit spans using fake transports first
S12	v2/daemon/src/loginFlows.ts:tick, reconcileAtBoot, shutdown	Each active login flow each tick; boot/stop	CPU/tick, SQL/FS calls, expiry lag, leaked PTYs	active/expired flows, canceled workers, retired seats	Correctness only; I1,I4,I7	Per-flow reads and credential-landing probes add idle work during unattended login	K5,K7; daemon/login-flows, login-worker	P2	100 open flows followed by expiry/cancel/restart; assert zero residual workers
S13	v2/daemon/src/daemon.ts:performSwap, carryClaudeTranscript, applyAccountPolicy	Account swap or provider-boundary rotation	wall, transcript copy bytes, CPU, restart latency	transcript tree size, exhausted accounts, duplicate evidence	Correctness only; I3,I6,I7	Synchronous transcript search/copy and reselection block rotation admission	K2,K7; daemon/accounts-rpc, bee-args	P1	Swap on large nested transcripts with fixed account choices and concurrent RPCs
S14	v2/daemon/src/autoTitle.ts:createAutoTitleDispatcher	Enabled scan at most once/second	CPU/scan, SQL count, bytes read, candidate delay	B, untitled/deferred ratio, full mail history	B1 disabled; I1,I7	Deferred candidates still read full mail before the context-probe budget advances	K7; daemon/autoTitle	P1	10k untitled deferred bees with long mail histories; compare disabled mode
S15	v2/daemon/src/namingService.ts:TitleGeneratorService.generate, CodexNamingAppServer.generate	Naming requests and persistent app-server warmup	queue wait, child RSS/CPU, provider wall/tokens/cost	backend, request count, errors, warm/cold, concurrency	Usage latency exists; I4,I7	Persistent naming process/serialized requests impose idle memory and queue latency	K7; daemon/naming-service, naming-rpc	P1	Separate queue, local protocol and provider time; measure naming-enabled idle footprint
S16	v2/daemon/src/autoTitle.ts:persistBookkeepingFile	Every title attempt/defer bookkeeping update	write bytes, CPU, heap, sidecar growth	bookkeeping entries, churn/deleted bees, retry rate	No focused perf; I5,I6	Whole-map JSON rewrite and retained deleted-bee entries scale with lifetime usage	K7; daemon/autoTitle corrupt-state/retry cases	P2	Many deferred/deleted bees followed by one update; measure retained map and write size
S17	v2/daemon/src/accountsService.ts:importRegistry, backfillBeeAccounts; v2/core/src/import-frozen.ts:importFromFrozen	Explicit migration/import/backfill	wall, CPU, files/probes, DB/WAL bytes	old sessions/accounts, transcript files, invalid records	Correctness only; I1,I4,I6	Directory walks and process/transcript probes dominate migration wall time	K1,K5,K7; core/import-frozen; daemon/import-frozen	P2	Disposable legacy tree at 100/10k records; preserve dry-run/import parity
P01	scripts/build-v2-artifact.mjs:top-level; scripts/build-runner-host-artifact.mjs:top-level	Developer/release builds	wall, CPU, peak RSS, output bytes	cold/incremental TS, bundle graphs, native dependencies	B2 host artifact guard; I4,I9	Repeated compilation and overlapping bundle graphs dominate verification turnaround	K8; daemon/runner-host-artifact; tests/runtime-artifact	P2	Time build phases on immutable sources; verify identical exports and host graph limits
P02	src/commands/deploy.ts:buildDeployArtifact	Each deploy artifact construction	wall, CPU, network bytes, peak disk/RSS	source tree, npm cache, dependency size, chosen gates	Correctness only; I4,I6,I9	Archive/extract plus two npm ci stages and test gates dominate deployment preparation	K8; tests/deploy-cli, deploy-runtime	P2	Attribute offline-cache and network-cache-miss builds separately without touching runtime/current
P03	src/deploySettle.ts:hashDirectoryTree, waitForSettledInstall; src/runtimeArtifact.ts:packRuntimeArtifact	Build stamp, settled-install probes, tarball packaging	hash CPU, bytes read/written, compression ratio, wall	file count, artifact bytes, repetitions, symlinks	Correctness only; I6,I9	Repeated full-tree hashing and compression amplify packaging I/O	K8; tests/deploy-settle, runtime-artifact	P2	Fixed artifact with many-small/few-large files; count bytes reread per stage
P04	src/deployRuntime.ts:deployVersion, rollbackDeploy; v2/daemon/src/service.ts:LaunchdServiceManager.stop	Publish/restart/rollback	RPC outage, copy wall, process calls, stop settle time	artifact size, prior versions, survivors, platform	Correctness only; I3,I4,I6	Copy/stage and service polling dominate outage independently of host survival	K5,K8; tests/deploy-runtime; daemon/service, daemon-lifecycle	P1	Disposable service/release tree: measure publish, unavailable interval and re-adoption separately
P05	src/deployRuntime.ts:pruneRuntimeVersions; v2/daemon/src/daemon.ts:log	Long uptime and release retention	bytes/day, allocated blocks, inode count, prune wall	logs/journals/transcripts/DB/homes/Cells/releases, churn	B1 live contextual sizes; I6	Operational/evidence files can outgrow SQLite and make maintenance expensive	K4,K5,K8; telemetry/deploy retention tests	P1	Account for every artifact owner and growth rate before proposing retention changes
P06	v2/daemon/src/performance.ts:createPerformanceProfiler, startSpan, sample, writeArtifacts	Opt-in spans/resources and shutdown flush	CPU/span, heap, event loss, artifact bytes, shutdown wall	disabled/enabled/capped, 25k default events, span rate	B1 synthetic overhead only; I9	Enabled spans, duplicate loop histograms and final serialization perturb real workloads	K4; daemon/performance bounded/fail-open tests	P1	A/B disabled/enabled/capped on same saturated daemon workload; include final flush
P07	scripts/perf/sample-process.mjs:top-level; scripts/perf/git-trace.mjs:top-level	Profiler/process/Trace2 sampling runs	sampler CPU, missed short processes, records, bytes	sample rate, host count, native allocation mode	Existing tools/tests; I9	Sampler overhead and attribution gaps bias short-lived child CPU/RSS estimates	K4; scripts/perf/process-tree, git-trace, worker tests	P2	Calibrate known synthetic process lifetimes and report observer CPU separately
X01	src/view/index.ts:listBeeViews, getBeeView; src/view/context.ts:assembleStateContext	Shipped library root; legacy view reads	latency, CPU, fs/process/network calls	records, nodes, HSR/tmux mix, requests	Legacy correctness; I4,I6,I10	Aggregated observations and record projection create fleet-sized read costs	K4,K5; tests/beeview-context, library-entry	P2	Exercise library export on disposable legacy records with remote probes disabled/enabled separately
X02	src/store.ts:saveSession, touchSession, listActiveSessionsHot, rebuildActiveSessionIndex	Legacy writes, heartbeat and active inventory	CPU, file writes, lock wait, reconciliation wall	retained/active ratio, heartbeat cadence, index corruption	Older active-index ruler; I6,I10	JSON/index rewrites and bounded reconcile work still dominate legacy state upkeep	K1,K5; tests/store-active-index-scale, bounded-state-machine	P2	Reuse active-index fixture only for unfrozen legacy path; verify no v2 attribution
X03	src/fsx.ts:atomicWriteFile, acquireLongLivedLock; src/store.ts:appendLedger	Legacy durable writes and process-owned locks	fsync/rename latency, bytes, inode count, lock wait	record size, contenders, machine identity, crashes	Correctness only; I6,I10	Small-file durability and lock heartbeat traffic dominate metadata-heavy flows	K1,K5; tests/fsx, lock, store	P2	Isolated multi-process write trace with owner-death and unchanged-write cases
X04	src/daemon/tick.ts:tick; src/daemon/wiring.ts:buildDefaultDeps	Unfrozen legacy daemon ticks	CPU/tick, timeout tails, phase queue age	active roster, enabled dispatchers, nodes, intervals	Legacy phase logs; I1,I10	Shared observations still feed many independently scheduled policy scans	K2,K3; tests/daemon-tick, runtime-recovery-supervisor	P2	Record per-dispatcher enabled/no-op/active costs and overlap on fixed fleet
X05	src/daemon/observerProcess.ts:createIsolatedHsrObservations; src/daemon/credentialSweepProcess.ts:createIsolatedCredentialSweeper	Legacy observation/credential workers	launch CPU, worker RSS, IPC bytes, timeout cleanup	fleet/account count, repeated batches, timeout rate	Correctness only; I4,I5,I10	Process isolation protects responsiveness but adds repeated startup/serialization	K5,K7; tests/daemon-observer, daemon-credential-sweep	P2	Compare warm-worker lifetime and batch sizes without moving work onto tick
X06	src/daemon/supervision.ts:createSupervisor, spawnSentinel; src/daemon/nodeReachability.ts:createNodeReachabilityTracker	Legacy watchdog/sentinel/reachability intervals	idle CPU, probes, child count, recovery latency	nodes, stalled worker, backoff, daemon restarts	Correctness only; I4,I10	Monitoring processes and periodic probes impose a persistent idle floor	K2,K5; tests/daemon-watchdog, daemon-status	P2	Measure no-work supervised legacy daemon including sentinel and probe processes
X07	src/hsr/runnerHost.ts:spawnHsrHost, waitForHsrReadiness; src/hsr/startupQueue.ts:withCodexStartupSlot	hive-x and unfrozen legacy HSR start	queue/held time, spawn CPU/RSS, processes	concurrency=2 default, burst width, host entry/cache	July B0 only; I3,I4,I10	100 ms slot polling and readiness polling add spawn overhead outside providers	K2,K5; tests/hsr-startup-queue, hsr-runner-entry	P2	Repeat current shipped hive-x stub and native-handshake rulers separately from v2
X08	src/hsr/streamRunner.ts:startStreamRunner; src/hsr/turnRunner.ts:startTurnRunner; src/hsr/adapters/index.ts:adapterFor	Legacy provider stream/turn launch	CPU/byte, process/turn count, local protocol latency	Claude/Codex/Grok/Kimi/OpenCode/Cursor modes, tool traffic	July B0; I3,I8,I10	Turn-spawn adapters and stream parsers have different fixed overheads	K2,K3; tests/hsr-*-adapter, hsr-turn-runner	P2	Recorded-fixture parser matrix and stub turn-process lifecycle measurement
X09	src/hsr/sessionBase.ts:createSessionPlumbing, spawnSessionChild; src/hsr/observe.ts:hsrObservations	Legacy event ingest, ring flush, child-tree tracking and reads	CPU, write bytes, ring heap, process scans	events/s, ring size, child depth, reconnect	Correctness only; I4,I5,I6,I10	Event persistence and process-tree tracking compete with output handling	K4,K5; tests/hsr-events-compaction, hsr-process-identity	P2	Fixed event stream with varied ring and descendant counts; include all observer work
X10	src/hsr/remoteTransport.ts:connectRemoteRunnerHost, openSshSocketForward; src/substrates/remote-hsr.ts:createRemoteHsrSubstrate	Legacy remote connect and requests	RTT, local CPU/RSS, SSH processes, throughput	nodes, reuse, RTT, bandwidth, reconnects	Correctness only; I4,I10	Tunnel setup and repeated control/protocol handshakes dominate small remote calls	K4,K5; tests/hsr-remote-transport, hsr-remote-substrate	P1 conditional	Controlled local fake remote first, then separately authorized real-node latency matrix
X11	src/hsr/rpc.ts:startRpcServer; src/hsr/remoteEventMirror.ts:createRemoteEventMirror	Remote event broadcasts and local mirror ingest	events/s, queued/dropped frames, lag, disk writes	slow readers, cursor gaps, event bursts, reconnect	Bounded legacy queues exist; I2,I6,I10	Drop-oldest queues induce resync/replay amplification during network stalls	K4; tests/hsr-rpc, hsr-remote-mirror, hsr-event-integrity	P1 conditional	Pause reader, force bounded overflow, reconnect and prove gap/epoch correctness
X12	src/hsr/bootstrap.ts:bootstrapRunnerHost; src/hsr/remoteHost.ts:serve, buildController	Legacy remote installation/serve/control	startup/upgrade wall, transfer bytes, child CPU/RSS	version hit/miss, nodes, bundle size, failures	Correctness only; I4,I6,I10	Hash/version checks and artifact transfer dominate remote cold start	K5,K8; tests/hsr-remote-bootstrap, hsr-remote-controller-lifecycle	P2	Disposable fake-node version hit/miss and interrupted transfer; no live upgrade
X13	src/hsr/provisioning.ts:provisionCheckout; src/hsr/remoteWorkingCopy.ts:resolveRemoteCwd; src/hsr/remoteCreds.ts:mintEphemeralCredential, shredDeliveredCredentials	Legacy remote spawn/provision/cleanup	wall, git/network bytes, credential CPU, cleanup I/O	repo size, workcopy reuse, auth policy, lease freshness	Correctness only; I6,I7,I10	Provisioning and credential transport are separate fixed costs hidden in remote spawn	K5,K6,K7; tests/hsr-remote-provision, hsr-remote-creds-hardening	P2	Attribute checkout, credential mint/delivery and launch receipt separately
X14	src/substrates/ssh-tmux.ts:createSshTmuxSubstrate	Legacy remote tmux operations	RTT, SSH/tmux calls, pipe bytes, connection residue	nodes, command batching, reconnect, terminal size	Correctness only; I4,I10	Per-operation SSH round trips outweigh local tmux computation	K4,K5; tests/ssh-tmux, cli.attach.remote	P2	Batch-equivalent read operations over controlled latency and verify command ordering
X15	src/buz/send.ts:sendBuzMessage; src/buz/storage.ts:listMessages, finalizeQueuedDelivery; src/buz/drain.ts:processQueueForBee	Legacy mail acceptance/drain/history	latency, files/message, lock wait, msgs/s	queue length, body bytes, urgency/tier, retries	Correctness only; I3,I6,I10	Per-message files, outboxes and recipient locks amplify legacy mailbox work	K3; tests/buz, daemon-buz-dispatch, hsr-answer-receipts	P2	Fixed legacy eligible FIFO trace with duplicate sends and replay, distinct from v2 SQLite
X16	src/recovery/store.ts:claimRuntimeRecoveryAttempt; src/recovery/wake.ts:ensureLiveRuntimeForSend; src/daemon/hsrStopRecovery.ts:createHsrStopRecoveryDispatcher	Legacy wake/retry/park/stop recovery	recovery wall, retries, probes, ledger bytes	failed attempts, pending input, lost ownership, backoff	Correctness only; I3,I4,I10	Multiple durable recovery records and exact probes add repeated failure-path work	K2,K3,K5; tests/runtime-recovery-store, hsr-stop-recovery	P2	Replay same failure sequence with increasing history; assert finite attempts and preserved input
X17	src/execution/contract.ts:loadExecutionContract, createExecutionValidator, computeSchemaDigest	Shipped execution/v1 import/validation consumers	startup CPU, schema reads, validator heap, validation/s	92 contract files, validator reuse, payload size	Conformance tests; I4,I8	AJV compilation and canonical hashing dominate short-lived consumer calls	K4,K8; tests/execution-contract; execution conformance corpus	P2	Cold import/validator construction versus cached validation on identical fixtures
X18	src/execution/runStore.ts:admitRunStart, appendRunEvents, listRunReservationInventory	Legacy execution admission/events/inventory	latency, fs/lock calls, bytes, replay CPU	runs, event history, effect keys, concurrent admissions	Correctness only; I6,I10	Global admission and per-run JSON/index/event persistence limit run throughput	K1,K4,K5; tests/execution-run-start, execution-inventory-reconcile	P2	Mixed same/different effect-key admissions with growing settled history
X19	src/execution/service.ts:createExecutionService; src/execution/operations.ts:createRunOperations	Legacy execute/cancel/collect/release operations	queue wait, CPU, lease checks, process/FS calls	operations/runs, retries, occupancy, evidence size	Correctness only; I3,I6,I10	Operation leases, evidence and cleanup add tail cost after harness completion	K1,K5,K6; tests/execution-operation-leases, execution-collect-release	P2	Timestamp requested/claimed/effect/settled/cleanup on a stub execution lifecycle
X20	src/comb/controller.ts:sweepCombs; src/comb/store.ts:mutateRun, boardView	Unfrozen comb scheduling and reads	CPU/sweep, bytes rewritten, heap, activation delay	runs, graph width/depth, fanout items, evidence	Correctness only; I6,I10	Whole-run state rewrites and activation scans grow with completed history	K1,K4; tests/comb-machine, comb-integration, comb-review-regressions	P2	Large completed graph with one runnable activation; compare identical board/evidence
X21	src/flow/run.ts:executeFlow; src/flow/runs.ts:listRuns; src/loop/control.ts:startLoop; src/loop/state.ts:listLoops	Legacy flow/loop run, poll, history and list	orchestration CPU, child count, disk/heap, wait latency	iterations, fanout, retained runs, summarizer context	Correctness only; I3,I6,I10	Polling, history loading and summarizer provider work grow separately	K2,K4,K5; tests/flow-run, loop, loopTemplate	P2	Stub iterations at increasing history; separate summarizer provider latency/tokens
X22	src/pool.ts:allocatePoolMembers, poolLiveBees; src/flight/controller.ts:sweepFlights	Legacy allocation/flight scheduling	lock wait, probes, CPU, fairness/queue age	members, occupants, flights, concurrent allocators	Correctness only; I4,I6,I10	Live occupancy discovery and lease/file locks dominate allocation bursts	K5,K6; tests/pool-integration, flight-controller	P2	Mixed allocation/release with stale claims; measure no-work sweep separately
X23	src/accounts/registry.ts:listAccounts; src/limits/dispatch.ts:accountLimits; src/kit.ts:kitMaterializeHome; src/gateways.ts:liveGateways; src/linear.ts:loadLinearAdapter	Legacy account/config/kit/gateway/issue integration	local CPU/FS/process counts, external RTT	homes/accounts, cache TTL, tools, stale credentials, issue calls	July B0 kit ablations; I6,I7,I10	Home materialization and provider/tool discovery repeat outside actual agent work	K7; tests/accounts, kit, gateway-mcp, linear.unit	P2	Warm/cold materialization and selection; attribute Hem/kit/Linear/provider subprocess/network time separately
X24	src/transcripts/cache.ts:readJsonlCached, findFilesCached; src/sessionMetadata.ts:resolveSessionTranscript	Legacy transcript discovery and parsing	read CPU, cache misses, heap, bytes	8-entry parse LRU, 16 scans/1.5s TTL, growing log size	Correctness only; I5,I6,I8	More than eight active growing transcripts thrash whole-file parse cache	K4; tests/transcripts, session-metadata	P1 conditional	Alternate 8/9/100 growing logs with equal appended bytes and inspect heap
X25	src/search/engine.ts:search, compileMatcher; src/search/readers.ts:listLedgerFiles	Unfrozen legacy search/seals commands	query wall/CPU, files/bytes scanned, hit heap	selectivity, regex, corpus size, limit=0, rotations	Correctness only; I6,I8	Seal/session hits accumulate before sorting; rare-match or complex regex scans dominate	K4; tests/search ranking/redaction/complete results	P2	No-match, dense-match and bounded difficult regex corpora; retain ranking and full-result semantics
X26	src/spend/ingest.ts:ingest, readEventIds; src/spend/ledger.ts:readAllEvents; src/usage.ts:usageSummary	Legacy spend ingest/reports and usage reads	CPU, heap, bytes, dedup work	transcripts, events, seats, time range, model cardinality	Correctness only; I5,I6,I8	Whole-ledger ID sets and report aggregation grow with lifetime usage	K4,K7; tests/spend-ingest, spend-report, usage	P2	Incremental one-event ingest after 1M events; report local cost separately from monetary estimates
X27	src/beesTui.ts:runBeesTui, filterBeesTuiItems; src/tuiPaint.ts:createTuiPainter	Legacy interactive list/pickers/usage/loop screens	input/render latency, CPU, output bytes, idle wakeups	catalog size, terminal dimensions, refresh cadence	Unit rendering tests; I5,I10	Catalog rebuilds, fuzzy filtering and terminal painting dominate large live screens	K4; tests/beesTui, tuiPaint, tuiRuntime; manual UI	P2	Replay bounded input/resize trace to sink then manually verify real terminal behavior
X28	src/codexHomeMaintenance.ts:probeCodexHomeLogs, reclaimCodexHomeLogs; src/daemon/log.ts:rotateDaemonLogIfNeeded	Legacy home maintenance and log rotation	scan wall, bytes reclaimed/copied, idle I/O	home/log count, SQLite sidecars, active writers, disk size	Correctness tests; I6,I10	Repeated storage probes and rotation compete with active provider/daemon I/O	K4,K5,K7; tests/codex-home-maintenance, daemon-log	P2	Disposable active-writer logs with retention policy held constant
X29	src/requests/store.ts:readBeeRequests, openRequest, resolveRequest; src/daemon/broker.ts:verifyBrokerCallerClaim, handleBrokerOperation	Shipped root request API and legacy broker actions	latency, lock/FS calls, auth CPU	open/closed requests, claim verification, generation changes	Correctness only; I6,I7,I10	Per-bee records and exact caller checks add overhead to interactive handoffs	K1,K4,K5; tests/requests-store, daemon-broker	P2	Read/mutate requests and authenticate broker calls at high history with reused/stale identity cases
