ID,Priority,Status,Operation,Metrics,Baseline evidence,Change,After evidence,Correctness gate,Disposition
E10,P1,clean merge optimized; Git child resources measured,v2/daemon/src/daemon.ts:rpcCellCapture; v2/driver-cell/src/capture.ts:captureWork,"RPC blocked wall, Git CPU, temp bytes",mini-cell-exit-aa-canonical.json;mini-cell-exit-aa-stress-v2.json,6984a6a2 integrated86ddf953 object-only clean merge in scratch,cell-object-merge-results.md; exact8cases; canonical400.25→94.86ms;cell-git-rusage-results.md,"K1,K6; driver-cell/capture; daemon/cells",Accepted clean merge with conflict cost. Three Git-tree CPU diagnostics including reverse pair improve clean merge; native max-process RSS scope proven. Whole-daemon blocking and temp bytes remain open.
E11,P1,unmeasured this round,"v2/driver-cell/src/remove.ts:dirtyReport, deleteCell; v2/daemon/src/daemon.ts:rpcCellRemove","RPC latency, Git/FS calls, removal bytes","Correctness only; I4,I6",,,"K5,K6; driver-cell/remove; daemon/cells",Open; next experiment: Measure clean/refused removals on huge trees without weakening refusal rules
E12,P2,unmeasured this round,"v2/driver-cell/src/driver.ts:cellOf, resolveCellSpawn, cancelPending","ledger reads, heap, worker cleanup latency","Correctness only; I4,I5,I6",,,"K5,K6; driver-cell/driver restart-adoption/cancel",Open; next experiment: Churn cells through reserve/start/remove/restart and inspect cache/worker survivors
S01,P3,unmeasured this round,"v2/daemon/src/config.ts:loadNodeConfig, patchNamingConfig; v2/daemon/src/daemon.ts:rpcConfigPatch","CPU, file writes, restart overhead","Correctness only; I1,I6",,,"K7; daemon/config, naming-rpc",Open; next experiment: Repeated semantic no-op versus changed patches and audit/service-start counts
S02,P2,unmeasured this round,"v2/core/src/executables.ts:resolveExecutable, resolveSpawnCommand","latency, stat/access calls","Correctness only; I4,I6",,,"K5,K7; core/executables; daemon/node-harnesses",Open; next experiment: Warm/missing executable matrix with long PATH and changing files
S03,P2,unmeasured this round,v2/daemon/src/gateways.ts:liveGateways,"CPU, directory/JSON/stat/PID calls","Correctness only; I4,I6",,,K7; daemon/gateways,Open; next experiment: Resolve 0/100/1000 live/stale gateway records without spawning providers
S04,P1,unmeasured this round,"v2/daemon/src/accountsService.ts:pick, pickRoundRobin, scheduleFreshLimits","CPU, SQL/FS counts, admission latency, fairness","B1 disabled; I1,I7",,,K7; core/account-select; daemon/accounts-service,Open; next experiment: Burst 1000 selections with fixed quota snapshots and B=10k
S05,P1,unmeasured this round,"v2/daemon/src/accountsService.ts:credentialed, credentialHealthOf, activateForSpawn; v2/daemon/src/activation.ts:activateHomeIfEmpty","FS calls, latency, copied bytes","Correctness only; I6,I7",,,"K7; daemon/accounts-service, home-defaults, accounts-rpc",Open; next experiment: Measure empty versus populated homes; mutate credentials without audit and verify health changes
S06,P1,unmeasured this round,"v2/daemon/src/accountsService.ts:periodicRefreshTick, refreshLimits, fetchOneBounded","queue age, Honeybee CPU, subprocess RSS, provider latency","B1 disabled; I4,I7",,,K7; daemon/accounts-service; account-lease,"Open; next experiment: Use deterministic slow fetchers for 1/100 accounts, then separate approved provider timings"
S07,P2,unmeasured this round,"v2/daemon/src/accountsService.ts:verifyCredentials, captureAccount, persistCredentialCapture","wall, hash/copy CPU, FS/Keychain calls","Correctness only; I6,I7",,,"K7; daemon/accounts-service, login-flows",Open; next experiment: Time local preparation/persistence separately from external verification
S08,P1,unmeasured this round,"v2/daemon/src/accountsService.ts:mintLease, mintCodexLease, mintClaudeLease","latency, child CPU/RSS, cache/single-flight hits","Correctness only; I4,I7",,,K7; daemon/account-lease refresh races/no refresh-token disclosure,Open; next experiment: Same-key versus distinct-account concurrent leases with controlled token freshness
S09,P2,unmeasured this round,"src/lock.ts:withFileLock, acquireFileLock, probeProcessOwner","wait wall, fs calls, ps count, heartbeat CPU","Correctness only; I4,I6,I7",,,"K5,K7; tests/lock; daemon/account-lease",Open; next experiment: Same-home refresh contention with deterministic dead-owner reclamation
S10,P2,unmeasured this round,"v2/daemon/src/loginWorker.ts:LoginWorker.start, LoginOutputParser.feed, settle","worker RSS, CPU/byte, spawn wall, timers","Correctness only; I4,I5,I8",,,K7; daemon/login-worker redaction/prompt detection,Open; next experiment: Replay prompt fixture with adversarial chunk boundaries and long harmless output
S11,P2,unmeasured this round,v2/daemon/src/login/claudeOauth.ts:ClaudeOauthRunner; v2/daemon/src/login/directKey.ts:DirectKeyRunner; v2/daemon/src/login/transports.ts:defaultLoginTransports,"local CPU, HTTP latency, retries, response bytes",Correctness only; I7,,,"K7; daemon/claude-oauth-contract, login-flows","Open; next experiment: Split request construction, provider wait and credential commit spans using fake transports first"
S12,P2,unmeasured this round,"v2/daemon/src/loginFlows.ts:tick, reconcileAtBoot, shutdown","CPU/tick, SQL/FS calls, expiry lag, leaked PTYs","Correctness only; I1,I4,I7",,,"K5,K7; daemon/login-flows, login-worker",Open; next experiment: 100 open flows followed by expiry/cancel/restart; assert zero residual workers
S13,P1,unmeasured this round,"v2/daemon/src/daemon.ts:performSwap, carryClaudeTranscript, applyAccountPolicy","wall, transcript copy bytes, CPU, restart latency","Correctness only; I3,I6,I7",,,"K2,K7; daemon/accounts-rpc, bee-args",Open; next experiment: Swap on large nested transcripts with fixed account choices and concurrent RPCs
S14,P1,unmeasured this round,v2/daemon/src/autoTitle.ts:createAutoTitleDispatcher,"CPU/scan, SQL count, bytes read, candidate delay","B1 disabled; I1,I7",,,K7; daemon/autoTitle,Open; next experiment: 10k untitled deferred bees with long mail histories; compare disabled mode
S15,P1,unmeasured this round,"v2/daemon/src/namingService.ts:TitleGeneratorService.generate, CodexNamingAppServer.generate","queue wait, child RSS/CPU, provider wall/tokens/cost","Usage latency exists; I4,I7",,,"K7; daemon/naming-service, naming-rpc","Open; next experiment: Separate queue, local protocol and provider time; measure naming-enabled idle footprint"
S16,P2,unmeasured this round,v2/daemon/src/autoTitle.ts:persistBookkeepingFile,"write bytes, CPU, heap, sidecar growth","No focused perf; I5,I6",,,K7; daemon/autoTitle corrupt-state/retry cases,Open; next experiment: Many deferred/deleted bees followed by one update; measure retained map and write size
S17,P2,unmeasured this round,"v2/daemon/src/accountsService.ts:importRegistry, backfillBeeAccounts; v2/core/src/import-frozen.ts:importFromFrozen","wall, CPU, files/probes, DB/WAL bytes","Correctness only; I1,I4,I6",,,"K1,K5,K7; core/import-frozen; daemon/import-frozen",Open; next experiment: Disposable legacy tree at 100/10k records; preserve dry-run/import parity
P01,P2,unmeasured this round,scripts/build-v2-artifact.mjs:top-level; scripts/build-runner-host-artifact.mjs:top-level,"wall, CPU, peak RSS, output bytes","B2 host artifact guard; I4,I9",,,K8; daemon/runner-host-artifact; tests/runtime-artifact,Open; next experiment: Time build phases on immutable sources; verify identical exports and host graph limits
P02,P2,unmeasured this round,src/commands/deploy.ts:buildDeployArtifact,"wall, CPU, network bytes, peak disk/RSS","Correctness only; I4,I6,I9",,,"K8; tests/deploy-cli, deploy-runtime",Open; next experiment: Attribute offline-cache and network-cache-miss builds separately without touching runtime/current
P03,P2,unmeasured this round,"src/deploySettle.ts:hashDirectoryTree, waitForSettledInstall; src/runtimeArtifact.ts:packRuntimeArtifact","hash CPU, bytes read/written, compression ratio, wall","Correctness only; I6,I9",,,"K8; tests/deploy-settle, runtime-artifact",Open; next experiment: Fixed artifact with many-small/few-large files; count bytes reread per stage
P04,P1,unmeasured this round,"src/deployRuntime.ts:deployVersion, rollbackDeploy; v2/daemon/src/service.ts:LaunchdServiceManager.stop","RPC outage, copy wall, process calls, stop settle time","Correctness only; I3,I4,I6",,,"K5,K8; tests/deploy-runtime; daemon/service, daemon-lifecycle","Open; next experiment: Disposable service/release tree: measure publish, unavailable interval and re-adoption separately"
P05,P1,unmeasured this round,src/deployRuntime.ts:pruneRuntimeVersions; v2/daemon/src/daemon.ts:log,"bytes/day, allocated blocks, inode count, prune wall",B1 live contextual sizes; I6,,,"K4,K5,K8; telemetry/deploy retention tests",Open; next experiment: Account for every artifact owner and growth rate before proposing retention changes
P06,P1,unmeasured this round,"v2/daemon/src/performance.ts:createPerformanceProfiler, startSpan, sample, writeArtifacts","CPU/span, heap, event loss, artifact bytes, shutdown wall",B1 synthetic overhead only; I9,,,K4; daemon/performance bounded/fail-open tests,Open; next experiment: A/B disabled/enabled/capped on same saturated daemon workload; include final flush
P07,P2,unmeasured this round,scripts/perf/sample-process.mjs:top-level; scripts/perf/git-trace.mjs:top-level,"sampler CPU, missed short processes, records, bytes",Existing tools/tests; I9,,,"K4; scripts/perf/process-tree, git-trace, worker tests",Open; next experiment: Calibrate known synthetic process lifetimes and report observer CPU separately
X01,P2,unmeasured this round,"src/view/index.ts:listBeeViews, getBeeView; src/view/context.ts:assembleStateContext","latency, CPU, fs/process/network calls","Legacy correctness; I4,I6,I10",,,"K4,K5; tests/beeview-context, library-entry",Open; next experiment: Exercise library export on disposable legacy records with remote probes disabled/enabled separately
X02,P2,unmeasured this round,"src/store.ts:saveSession, touchSession, listActiveSessionsHot, rebuildActiveSessionIndex","CPU, file writes, lock wait, reconciliation wall","Older active-index ruler; I6,I10",,,"K1,K5; tests/store-active-index-scale, bounded-state-machine",Open; next experiment: Reuse active-index fixture only for unfrozen legacy path; verify no v2 attribution
X03,P2,unmeasured this round,"src/fsx.ts:atomicWriteFile, acquireLongLivedLock; src/store.ts:appendLedger","fsync/rename latency, bytes, inode count, lock wait","Correctness only; I6,I10",,,"K1,K5; tests/fsx, lock, store",Open; next experiment: Isolated multi-process write trace with owner-death and unchanged-write cases
X04,P2,unmeasured this round,src/daemon/tick.ts:tick; src/daemon/wiring.ts:buildDefaultDeps,"CPU/tick, timeout tails, phase queue age","Legacy phase logs; I1,I10",,,"K2,K3; tests/daemon-tick, runtime-recovery-supervisor",Open; next experiment: Record per-dispatcher enabled/no-op/active costs and overlap on fixed fleet
X05,P2,unmeasured this round,src/daemon/observerProcess.ts:createIsolatedHsrObservations; src/daemon/credentialSweepProcess.ts:createIsolatedCredentialSweeper,"launch CPU, worker RSS, IPC bytes, timeout cleanup","Correctness only; I4,I5,I10",,,"K5,K7; tests/daemon-observer, daemon-credential-sweep",Open; next experiment: Compare warm-worker lifetime and batch sizes without moving work onto tick
X06,P2,unmeasured this round,"src/daemon/supervision.ts:createSupervisor, spawnSentinel; src/daemon/nodeReachability.ts:createNodeReachabilityTracker","idle CPU, probes, child count, recovery latency","Correctness only; I4,I10",,,"K2,K5; tests/daemon-watchdog, daemon-status",Open; next experiment: Measure no-work supervised legacy daemon including sentinel and probe processes
X07,P2,unmeasured this round,"src/hsr/runnerHost.ts:spawnHsrHost, waitForHsrReadiness; src/hsr/startupQueue.ts:withCodexStartupSlot","queue/held time, spawn CPU/RSS, processes","July B0 only; I3,I4,I10",,,"K2,K5; tests/hsr-startup-queue, hsr-runner-entry",Open; next experiment: Repeat current shipped hive-x stub and native-handshake rulers separately from v2
X08,P2,unmeasured this round,src/hsr/streamRunner.ts:startStreamRunner; src/hsr/turnRunner.ts:startTurnRunner; src/hsr/adapters/index.ts:adapterFor,"CPU/byte, process/turn count, local protocol latency","July B0; I3,I8,I10",,,"K2,K3; tests/hsr-*-adapter, hsr-turn-runner",Open; next experiment: Recorded-fixture parser matrix and stub turn-process lifecycle measurement
X09,P2,unmeasured this round,"src/hsr/sessionBase.ts:createSessionPlumbing, spawnSessionChild; src/hsr/observe.ts:hsrObservations","CPU, write bytes, ring heap, process scans","Correctness only; I4,I5,I6,I10",,,"K4,K5; tests/hsr-events-compaction, hsr-process-identity",Open; next experiment: Fixed event stream with varied ring and descendant counts; include all observer work
X10,P1 conditional,unmeasured this round,"src/hsr/remoteTransport.ts:connectRemoteRunnerHost, openSshSocketForward; src/substrates/remote-hsr.ts:createRemoteHsrSubstrate","RTT, local CPU/RSS, SSH processes, throughput","Correctness only; I4,I10",,,"K4,K5; tests/hsr-remote-transport, hsr-remote-substrate","Open; next experiment: Controlled local fake remote first, then separately authorized real-node latency matrix"
X11,P1 conditional,unmeasured this round,src/hsr/rpc.ts:startRpcServer; src/hsr/remoteEventMirror.ts:createRemoteEventMirror,"events/s, queued/dropped frames, lag, disk writes","Bounded legacy queues exist; I2,I6,I10",,,"K4; tests/hsr-rpc, hsr-remote-mirror, hsr-event-integrity","Open; next experiment: Pause reader, force bounded overflow, reconnect and prove gap/epoch correctness"
X12,P2,unmeasured this round,"src/hsr/bootstrap.ts:bootstrapRunnerHost; src/hsr/remoteHost.ts:serve, buildController","startup/upgrade wall, transfer bytes, child CPU/RSS","Correctness only; I4,I6,I10",,,"K5,K8; tests/hsr-remote-bootstrap, hsr-remote-controller-lifecycle",Open; next experiment: Disposable fake-node version hit/miss and interrupted transfer; no live upgrade
X13,P2,unmeasured this round,"src/hsr/provisioning.ts:provisionCheckout; src/hsr/remoteWorkingCopy.ts:resolveRemoteCwd; src/hsr/remoteCreds.ts:mintEphemeralCredential, shredDeliveredCredentials","wall, git/network bytes, credential CPU, cleanup I/O","Correctness only; I6,I7,I10",,,"K5,K6,K7; tests/hsr-remote-provision, hsr-remote-creds-hardening","Open; next experiment: Attribute checkout, credential mint/delivery and launch receipt separately"
X14,P2,unmeasured this round,src/substrates/ssh-tmux.ts:createSshTmuxSubstrate,"RTT, SSH/tmux calls, pipe bytes, connection residue","Correctness only; I4,I10",,,"K4,K5; tests/ssh-tmux, cli.attach.remote",Open; next experiment: Batch-equivalent read operations over controlled latency and verify command ordering
X15,P2,unmeasured this round,"src/buz/send.ts:sendBuzMessage; src/buz/storage.ts:listMessages, finalizeQueuedDelivery; src/buz/drain.ts:processQueueForBee","latency, files/message, lock wait, msgs/s","Correctness only; I3,I6,I10",,,"K3; tests/buz, daemon-buz-dispatch, hsr-answer-receipts","Open; next experiment: Fixed legacy eligible FIFO trace with duplicate sends and replay, distinct from v2 SQLite"
X16,P2,unmeasured this round,src/recovery/store.ts:claimRuntimeRecoveryAttempt; src/recovery/wake.ts:ensureLiveRuntimeForSend; src/daemon/hsrStopRecovery.ts:createHsrStopRecoveryDispatcher,"recovery wall, retries, probes, ledger bytes","Correctness only; I3,I4,I10",,,"K2,K3,K5; tests/runtime-recovery-store, hsr-stop-recovery",Open; next experiment: Replay same failure sequence with increasing history; assert finite attempts and preserved input
X17,P2,unmeasured this round,"src/execution/contract.ts:loadExecutionContract, createExecutionValidator, computeSchemaDigest","startup CPU, schema reads, validator heap, validation/s","Conformance tests; I4,I8",,,"K4,K8; tests/execution-contract; execution conformance corpus",Open; next experiment: Cold import/validator construction versus cached validation on identical fixtures
X18,P2,unmeasured this round,"src/execution/runStore.ts:admitRunStart, appendRunEvents, listRunReservationInventory","latency, fs/lock calls, bytes, replay CPU","Correctness only; I6,I10",,,"K1,K4,K5; tests/execution-run-start, execution-inventory-reconcile",Open; next experiment: Mixed same/different effect-key admissions with growing settled history
X19,P2,unmeasured this round,src/execution/service.ts:createExecutionService; src/execution/operations.ts:createRunOperations,"queue wait, CPU, lease checks, process/FS calls","Correctness only; I3,I6,I10",,,"K1,K5,K6; tests/execution-operation-leases, execution-collect-release",Open; next experiment: Timestamp requested/claimed/effect/settled/cleanup on a stub execution lifecycle
X20,P2,unmeasured this round,"src/comb/controller.ts:sweepCombs; src/comb/store.ts:mutateRun, boardView","CPU/sweep, bytes rewritten, heap, activation delay","Correctness only; I6,I10",,,"K1,K4; tests/comb-machine, comb-integration, comb-review-regressions",Open; next experiment: Large completed graph with one runnable activation; compare identical board/evidence
X21,P2,unmeasured this round,src/flow/run.ts:executeFlow; src/flow/runs.ts:listRuns; src/loop/control.ts:startLoop; src/loop/state.ts:listLoops,"orchestration CPU, child count, disk/heap, wait latency","Correctness only; I3,I6,I10",,,"K2,K4,K5; tests/flow-run, loop, loopTemplate",Open; next experiment: Stub iterations at increasing history; separate summarizer provider latency/tokens
X22,P2,unmeasured this round,"src/pool.ts:allocatePoolMembers, poolLiveBees; src/flight/controller.ts:sweepFlights","lock wait, probes, CPU, fairness/queue age","Correctness only; I4,I6,I10",,,"K5,K6; tests/pool-integration, flight-controller",Open; next experiment: Mixed allocation/release with stale claims; measure no-work sweep separately
X23,P2,unmeasured this round,src/accounts/registry.ts:listAccounts; src/limits/dispatch.ts:accountLimits; src/kit.ts:kitMaterializeHome; src/gateways.ts:liveGateways; src/linear.ts:loadLinearAdapter,"local CPU/FS/process counts, external RTT","July B0 kit ablations; I6,I7,I10",,,"K7; tests/accounts, kit, gateway-mcp, linear.unit",Open; next experiment: Warm/cold materialization and selection; attribute Hem/kit/Linear/provider subprocess/network time separately
X24,P1 conditional,unmeasured this round,"src/transcripts/cache.ts:readJsonlCached, findFilesCached; src/sessionMetadata.ts:resolveSessionTranscript","read CPU, cache misses, heap, bytes","Correctness only; I5,I6,I8",,,"K4; tests/transcripts, session-metadata",Open; next experiment: Alternate 8/9/100 growing logs with equal appended bytes and inspect heap
X25,P2,unmeasured this round,"src/search/engine.ts:search, compileMatcher; src/search/readers.ts:listLedgerFiles","query wall/CPU, files/bytes scanned, hit heap","Correctness only; I6,I8",,,K4; tests/search ranking/redaction/complete results,"Open; next experiment: No-match, dense-match and bounded difficult regex corpora; retain ranking and full-result semantics"
X26,P2,unmeasured this round,"src/spend/ingest.ts:ingest, readEventIds; src/spend/ledger.ts:readAllEvents; src/usage.ts:usageSummary","CPU, heap, bytes, dedup work","Correctness only; I5,I6,I8",,,"K4,K7; tests/spend-ingest, spend-report, usage",Open; next experiment: Incremental one-event ingest after 1M events; report local cost separately from monetary estimates
X27,P2,unmeasured this round,"src/beesTui.ts:runBeesTui, filterBeesTuiItems; src/tuiPaint.ts:createTuiPainter","input/render latency, CPU, output bytes, idle wakeups","Unit rendering tests; I5,I10",,,"K4; tests/beesTui, tuiPaint, tuiRuntime; manual UI",Open; next experiment: Replay bounded input/resize trace to sink then manually verify real terminal behavior
X28,P2,unmeasured this round,"src/codexHomeMaintenance.ts:probeCodexHomeLogs, reclaimCodexHomeLogs; src/daemon/log.ts:rotateDaemonLogIfNeeded","scan wall, bytes reclaimed/copied, idle I/O","Correctness tests; I6,I10",,,"K4,K5,K7; tests/codex-home-maintenance, daemon-log",Open; next experiment: Disposable active-writer logs with retention policy held constant
X29,P2,unmeasured this round,"src/requests/store.ts:readBeeRequests, openRequest, resolveRequest; src/daemon/broker.ts:verifyBrokerCallerClaim, handleBrokerOperation","latency, lock/FS calls, auth CPU","Correctness only; I6,I7,I10",,,"K1,K4,K5; tests/requests-store, daemon-broker",Open; next experiment: Read/mutate requests and authenticate broker calls at high history with reused/stale identity cases
X30,P2,unmeasured this round,"src/threadCopy.ts:copyThreadForFork, copySessionDirRewritingIds; src/fork.ts:pickForkSeed","wall, CPU, heap, read/write bytes","Correctness only; I5,I6,I8",,,"K4,K7; tests/thread-copy*, fork.seed.unit, fork.summary-seed.unit",Open; next experiment: Copy fixed final turn from increasing histories; separate external summarizer time
X31,P2,unmeasured this round,"src/wait.ts:waitForIdle, waitForSeal; src/attach.ts:buildAttachArgv; src/tail.ts:appendedPaneText","poll CPU/FS/process count, latency, output bytes","Correctness only; I2,I4,I10",,,"K2,K4,K5; tests/wait, attach, tail",Open; next experiment: One versus 100 waiters over fixed transcript and controlled pane output
X32,P2,unmeasured this round,"src/fleet.ts:fleetTree, fleetForest; src/swarm.ts:saveSwarm; src/colony.ts:renameColony","CPU, heap, files rewritten, operation wall","Correctness only; I6,I10",,,"K1,K4; tests/fleet, swarm, colony",Open; next experiment: Wide/deep graph lookup and group rename on disposable records; no retired v2 feature revival
X33,P2,unmeasured this round,src/accounts/credentialSync.ts:runCredentialSyncLocked; src/accounts/genericSync.ts:syncGenericCredentialsToVault; src/daemon/tokenRefresh.ts:createTokenRefresher,"lock wait, file/hash/copy CPU, external RTT, retries","Correctness only; I6,I7,I10",,,"K5,K7; tests/credential-harvest-recovery, daemon-credential-sweep","Open; next experiment: Unchanged versus rotated credentials across many homes, with deterministic provider replies"
X34,P2,unmeasured this round,"src/proProjects.ts:listProRepoEntries, acquireProSlot, syncProCheckouts","CLI/process wall, local CPU, Git/disk bytes","Correctness only; I4,I6,I10",,,"K6,K7; tests/proProjects, proPools","Open; next experiment: Separate cached discovery, Honeybee argument work and external pro/git execution"
X35,P2,unmeasured this round,"src/naming.ts:gatherTitleContext, runTitleGenerator; src/daemon/autoTitle.ts:createAutoTitleDispatcher","local CPU/FS, child RSS, provider wall/tokens","July context only; I4,I7,I10",,,"K7; tests/naming, autoTitle",Open; next experiment: Measure legacy title context assembly and provider-free generator process separately
Z01,P1,drain and standing dedup accepted; rotation retention open,"v2/daemon/src/loops.ts:reportedI1, interruptRequested; v2/daemon/src/daemon.ts:rotatedGenerations","retained heap slope, bytes/message/bee, GC pauses",mini-z01-retained-before-1.json; 30000 obsolete IDs,6e4447d4 drain clear + b60e1310 committed candidate sweep,retained-dedup-results.md; retained-standing-candidate.md; dedup-sweep-results.md,"K2,K3,K7; daemon/loops, accounts-rpc",500001→1 IDs under standing mail; about10.44MB less final JS heap; growth CPU cost retained. Tiny-tracked scratch refinement verified. rotatedGenerations and broader GC pauses remain open.
Z02,P1,unmeasured this round,v2/daemon/src/daemon.ts:tickProfiled; v2/driver-cell/src/driver.ts:start; v2/driver-hsr/src/driver.ts:start,"throughput, queue ages, p99, total CPU/RSS, pressure/fairness","B1/B2 narrow cohorts; I3,I4,I5,I6",,,K1-K8; v2/harness invariants plus narrow driver tests,Open; next experiment: Run staged provider-free load ladder and identify first saturation resource without changing policy
CM01,P1,optimized measured subset,CoreStore.listActiveBeeMoves,CPU; wall; SQL calls,mini-move-discovery-aa.json,476559e5 active-pointer ordering,cell-move-discovery-results.md,core213; daemon358+1skip; loop68; build/allv2,Feature added after original inventory. Historical receipt scan removed; exact ordered receipts and rollback preserved.
CM02,P1,optimized measured subset,DaemonCore.deliveryLoop active-move lookup,CPU; wall; SQL calls,mini-held-fleet-v2-aa.json,4ebf43c9 check eligibility before move lookup,held-fleet-results.md,core213; daemon358+1skip; loop68; build/allv2,Feature added after original inventory. Held fleet improved; blocked-move filtering cost retained; eligibility array allocation remains open.
